Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma,add_certificate,price_Certificate
45,How to Buy Cheap Options - Options Trading Pricing Model,Si,200,658.0,All,1.0,4.4,English,Finance & Accounting,2017.0,131600.0,Udemy,,
46,Excel Crash Course: Master Excel for Financial Analysis,Si,105,8121.0,All,3.5,4.6,English,Finance & Accounting,2016.0,852705.0,Udemy,,
47,"Comprehensive Guide to Financial Markets, Investing &Trading",Si,60,4187.0,Beginner,9.0,4.4,English,Finance & Accounting,2016.0,251220.0,Udemy,,
48,Stock Trading Ninja: Complete System For Trading Success,Si,155,9445.0,All,4.5,4.1,English,Finance & Accounting,2014.0,1463975.0,Udemy,,
49,Hedge and Mutual Fund Careers: The Complete Guide,Si,200,3255.0,All,8.5,4.5,English,Finance & Accounting,2016.0,651000.0,Udemy,,
50,Algorithmic Trading In Forex: Create Your First Forex Robot!,Si,185,7941.0,All,6.5,4.6,English,Finance & Accounting,2014.0,1469085.0,Udemy,,
51,The Power Modeling Bootcamp: Advanced Excel in 10 Days,Si,150,1680.0,All,5.5,4.6,English,Office Productivity,2016.0,252000.0,Udemy,,
52,Options Trading Basics (3-Course Bundle),Si,180,10100.0,Beginner,11.0,4.5,English,Finance & Accounting,2013.0,1818000.0,Udemy,,
53,How to Win 97% of Your Options Trades,Si,125,5050.0,All,1.5,4.5,English,Finance & Accounting,2015.0,631250.0,Udemy,,
54,How I Make Consistent Returns Trading Options,Si,200,2310.0,All,3.5,4.1,English,Finance & Accounting,2016.0,462000.0,Udemy,,
55,"Forex Strategies: Kelly Criterion, Larry Williams and more!",Si,185,5528.0,All,3.0,4.7,English,Finance & Accounting,2015.0,1022680.0,Udemy,,
56,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",Si,125,6451.0,All,5.0,4.0,English,Finance & Accounting,2014.0,806375.0,Udemy,,
57,Options Trading Introduction: Day Trade Stock Options,Si,95,12394.0,Beginner,2.5,3.6,English,Finance & Accounting,2015.0,1177430.0,Udemy,,
58,The Almost Perfect Options Trading Strategy System - Unique,Si,200,1793.0,All,1.0,4.2,English,Finance & Accounting,2017.0,358600.0,Udemy,,
59,Forex Trading -  Learn to Trade Forex Like the Banks,Si,20,3223.0,All,1.0,4.2,English,Finance & Accounting,2016.0,64460.0,Udemy,,
60,Learn to Trade for Profit:Trading with Japanese Candlesticks,Si,60,16385.0,Beginner,3.0,4.2,English,Finance & Accounting,2014.0,983100.0,Udemy,,
61,The Most Powerful Options Spread Trading Front Ratio Spread,Si,200,1487.0,All,2.0,4.3,English,Finance & Accounting,2017.0,297400.0,Udemy,,
62,What Finance Job is for You? Explanation of 14 Finance Roles,Si,200,2951.0,All,4.0,4.5,English,Finance & Accounting,2016.0,590200.0,Udemy,,
63,The Blueprint for Successful Stock Trading,Si,120,2697.0,All,1.0,4.4,English,Finance & Accounting,2015.0,323640.0,Udemy,,
64,Trading for Beginners - Intermediate Level,Si,150,3979.0,Beginner,5.0,4.0,English,Finance & Accounting,2016.0,596850.0,Udemy,,
65,Start Trading Stocks Using Technical Analysis!,Si,25,3190.0,All,4.0,4.7,English,Finance & Accounting,2016.0,79750.0,Udemy,,
66,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,Si,200,1406.0,Expert,1.5,4.4,English,Finance & Accounting,2017.0,281200.0,Udemy,,
67,VPS for Forex Trading - Protect Your Forex Robots,Si,160,4252.0,All,2.0,4.7,English,Finance & Accounting,2014.0,680320.0,Udemy,,
68,Introduction to Accounting: The Language of Business,Si,20,11958.0,Beginner,11.5,4.7,English,Finance & Accounting,2014.0,239160.0,Udemy,,
