course_title,num_subscribers,level,category,language,price,content_duration,add_certificate,price_Certificate,is_paid,plataforma
Introduction to Cybersecurity,73021,Beginner,Computer Science,English,0,1008,Si,199,No,edX
General Academic English|生活英语进阶,17526,Beginner,Language,English,0,1344,Si,49,No,edX
Gestión de personas: Recursos Humanos,19687,Beginner,Business & Management,Spanish,0,840,Si,119,No,edX
From Poverty to Prosperity: Understanding Economic Development,91062,Intermediate,Social Sciences,English,0,1008,Si,149,No,edX
Medical Terminology,31354,Beginner,Biology & Life Sciences,English,0,1344,Si,79,No,edX
Ancient Masterpieces of World Literature,48899,Beginner,Literature,English,0,1008,Si,99,No,edX
Shakespeare's The Merchant of Venice: Shylock,23283,Beginner,Humanities,English,0,672,Si,49,No,edX
Gestión del estrés y Mindfulness,15965,Beginner,Health & Safety,Spanish,0,672,Si,49,No,edX
Behavioural Economics in Action,66764,Beginner,Business & Management,English,0,1008,Si,139,No,edX
Finance for Everyone: Smart Tools for Decision-Making,45029,Beginner,Business & Management,English,0,1008,Si,49,No,edX
Creating Innovative Business Models,12227,Beginner,Business & Management,English,0,672,Si,149,No,edX
u.lab: Leading From the Emerging Future,79424,Beginner,Business & Management,English,0,2352,Si,99,No,edX
Electric Cars: Introduction,56171,Intermediate,Engineering,English,0,672,Si,50,No,edX
Inteligencia Artificial para todos: Domina los fundamentos,11764,Beginner,Computer Science,Spanish,0,672,Si,49,No,edX
Marketing Analytics,55228,Expert,Business & Management,English,0,2016,Si,249,No,edX
Introducción a la Regulación Emocional basada en Mindfulness,20634,Beginner,Health & Safety,Spanish,0,672,Si,49,No,edX
Design Thinking Fundamentals,56446,Intermediate,Business & Management,English,0,1008,Si,299,No,edX
Basic Spanish 3: Getting there,17569,Beginner,Language,English,0,672,Si,50,No,edX
Mi propia huerta orgánica,11346,Beginner,Biology & Life Sciences,Spanish,0,672,Si,29,No,edX
Sustainability in Architecture: An Interdisciplinary Introduction,31352,Intermediate,Architecture,English,0,672,Si,50,No,edX
Gestión de riesgos en proyectos de desarrollo,47676,Intermediate,Business & Management,Spanish,0,1680,Si,25,No,edX
Python Data Structures,36369,Beginner,Computer Science,English,0,1176,Si,49,No,edX
The Science and Business of Biotechnology,17039,Intermediate,Business & Management,English,0,2688,Si,49,No,edX
Finance Essentials,63666,Beginner,Business & Management,English,0,1008,Si,79,No,edX
Introduction to the Internet of Things (IoT),89421,Beginner,Computer Science,English,0,1008,Si,149,No,edX
'Talk to me': Improving mental health and suicide prevention in young adults,11481,Beginner,Health & Safety,English,0,1008,Si,139,No,edX
