Id,course_title,is_paid,price,num_subscribers,level,content_duration,rating,language,category,anio_publicacion,ingreso_por_curso,plataforma
407984,Financial Model Basics: Build a model from start to finish,Si,30,5057,Beginner,1.0,3.9,English,Finance & Accounting,2015,151710,Udemy
512400,EFT for Stock Options Trading Success & Making Better Trades,Si,95,4530,All,1.5,4.2,English,Finance & Accounting,2015,430350,Udemy
1175694,Get a Credit Repair Publication On Amazon and Live LIFE..,Si,20,727,Beginner,3.0,3.8,English,Finance & Accounting,2017,14540,Udemy
945750,Fundamentals of Accounting,Si,20,1560,All,3.0,4.4,English,Finance & Accounting,2016,31200,Udemy
402836,Accounting 101: How to read an Accounting Balance Sheet,Si,200,3050,Beginner,2.0,4.6,English,Finance & Accounting,2015,610000,Udemy
588764,Stock Options Day Trading Mindset for Success,Si,200,2988,All,4.5,3.9,English,Finance & Accounting,2015,597600,Udemy
576946,Introduction to bookkeeping and Accounting,Si,35,2623,Beginner,1.0,4.6,English,Finance & Accounting,2015,91805,Udemy
543242,Learn to Trade The News,Si,200,1924,All,46.5,4.9,English,Finance & Accounting,2015,384800,Udemy
502240,"Value Investing, Taught by Six Superinvestors",Si,200,3804,All,5.0,3.5,English,Finance & Accounting,2015,760800,Udemy
598266,Trading for everyone - The Independent Investor Course I,Si,120,4133,Beginner,4.0,3.8,English,Finance & Accounting,2015,495960,Udemy
814068,Get Acquired: Learn From The Head Of Acquisitions For eBay,Si,195,1420,All,2.5,4.8,English,Business,2016,276900,Udemy
1076920,Stock Market investment: Practical Accounting,Si,125,1120,Beginner,3.0,3.6,English,Finance & Accounting,2017,140000,Udemy
1103272,"How to remove 'Risk from Penny Stocks - Options Trading""",Si,200,668,All,1.0,5.0,English,Finance & Accounting,2017,133600,Udemy
1022108,"Tax Accounting: Difficult Topic, Made Easy to Understand",Si,200,1033,All,2.0,4.4,English,Finance & Accounting,2017,206600,Udemy
1028030,Analysis of Company Financial Statements,Si,20,832,All,1.5,3.9,English,Finance & Accounting,2016,16640,Udemy
1018380,Forex Trading Like Banks – Step by Step with Live Examples,Si,195,677,All,4.5,4.8,English,Finance & Accounting,2016,132015,Udemy
575676,Fundamentals of Investing!,Si,20,3125,Beginner,2.0,4.7,English,Finance & Accounting,2015,62500,Udemy
43441,"Master 'Technical Analysis and Chart reading skills Bundle""",Si,120,3348,All,3.0,4.5,English,Finance & Accounting,2013,401760,Udemy
1103718,Naked Put Options Trade Covered Call & Poor Man Covered Call,Si,200,939,All,1.5,3.8,English,Finance & Accounting,2017,187800,Udemy
584410,The Ultimate Guide to Dividend & Dividend Growth Investing,Si,200,2115,All,5.5,4.0,English,Finance & Accounting,2015,423000,Udemy
625568,Charting for Beginners 101: Technical Analysis Demystified,Si,45,2230,All,1.5,4.8,English,Finance & Accounting,2015,100350,Udemy
297742,Build a DCF Valuation Model,Si,50,2053,All,5.5,3.7,English,Finance & Accounting,2014,102650,Udemy
24877,Introductory Financial Accounting,Si,80,1793,Beginner,10.0,4.6,English,Finance & Accounting,2012,143440,Udemy
1188742,Introduction to Cryptocurrencies and Blockchain,No,0,3775,Beginner,2.0,4.6,English,Finance & Accounting,2017,0,Udemy
597716,Trade Pullback Candlestick Strategy - Make Consistent Pips,Si,200,521,All,3.0,3.6,English,Finance & Accounting,2016,104200,Udemy
323950,Use the Magic Multiple Moving Average Forex Trading system,Si,50,1097,Intermediate,1.0,4.4,English,Finance & Accounting,2014,54850,Udemy
488818,QuickBooks 2015 Training for Newbies,Si,200,2506,Beginner,6.0,4.0,English,Finance & Accounting,2015,501200,Udemy
610890,TRADING PSYCHOLOGY: Trading Mindset Mastery,Si,120,975,Intermediate,1.0,3.9,English,Finance & Accounting,2015,117000,Udemy
638980,Option Trading: How to Adjust Delta-Neutral Strangles!,Si,145,1398,All,1.5,3.0,English,Finance & Accounting,2015,202710,Udemy
332848,Tax Strategy: Financial Planning for Beginners,Si,200,1703,All,2.0,4.2,English,Finance & Accounting,2014,340600,Udemy
354324,Accounting 2 Simplified for You,Si,45,1446,Beginner,5.0,4.6,English,Finance & Accounting,2014,65070,Udemy
319020,Investing: How I Consistently Beat The Stock Market,Si,200,2000,All,4.5,4.1,English,Finance & Accounting,2014,400000,Udemy
713258,Bookkeeping Basics:  Understand the Fundamentals,Si,75,853,Beginner,4.5,4.6,English,Finance & Accounting,2016,63975,Udemy
919906,Trading Options For Consistent Returns: Options Basics,No,0,4077,Beginner,1.5,4.3,English,Finance & Accounting,2016,0,Udemy
46010,TechniTrader Leading Hybrid Indicator Trading,Si,20,4117,Intermediate,1.0,3.6,English,Finance & Accounting,2013,82340,Udemy
830994,Non Directional Weekly Options Trading System - ETF & Emini,Si,200,897,All,2.0,4.2,English,Finance & Accounting,2016,179400,Udemy
42643,Master Iron Condors - Double the credit for half the risk,Si,60,1338,Expert,1.0,3.8,English,Finance & Accounting,2013,80280,Udemy
411778,Basics of investing in Mutual Funds,Si,20,1589,Intermediate,1.5,3.8,English,Finance & Accounting,2015,31780,Udemy
366514,A Value Investing Approach to the Stock Market,Si,20,1189,All,1.5,3.8,English,Finance & Accounting,2015,23780,Udemy
471588,Learn how to INVEST for huge profits or make it big trading!,Si,50,701,All,5.5,3.8,English,Finance & Accounting,2015,35050,Udemy
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",Si,50,1105,Intermediate,6.0,4.6,English,Finance & Accounting,2015,55250,Udemy
607876,Mastering Candlestick Charting : High Probability Trading,Si,50,123,All,2.0,4.0,English,Finance & Accounting,2015,6150,Udemy
45139,"Get to know the VIX Index (aka 'The Fear Index)""",Si,60,727,All,1.0,4.6,English,Finance & Accounting,2013,43620,Udemy
692176,Apply finance concepts for smart project management,No,0,3465,Beginner,2.0,4.2,English,Finance & Accounting,2016,0,Udemy
1224262,Introduction to Futures Trading and Live Trade Demonstration,Si,60,54,Expert,0.7166666666666667,4.0,English,Finance & Accounting,2017,3240,Udemy
598094,Crowdfunding to Win,Si,40,627,All,1.5,4.4,English,Finance & Accounting,2015,25080,Udemy
40039,Comprehensive Forex Mastery Program,Si,45,650,All,10.0,4.5,English,Finance & Accounting,2013,29250,Udemy
